Name,Address,Latitude,Longitude,Zip Code,Rating,Review Count,Price,Median_household_income,Weighted Score
Blue Bottle Coffee,"408 Greenwich St, New York, NY 10013",40.72159402979819,-74.01001010391339,10013,3.4,8,,137572.0,
Blue Bottle Coffee,"101 University Pl, New York, NY 10003",40.73403,-73.99252,10003,4.1,62,$,137533.0,
Blue Bottle Coffee,"1227 Broadway, New York, NY 10001",40.74662093000475,-73.98879099999999,10001,3.9,11,,101409.0,
Blue Bottle Coffee,"441 8th Ave, Ste 68, New York, NY 10001",40.75153736448017,-73.9958345980164,10001,3.7,20,,101409.0,
Blue Bottle Coffee - Hudson Yards,"20 Hudson Yards, Ste 228, New York, NY 10001",40.75311886250226,-74.00182333262649,10001,3.5,97,$$,101409.0,
Blue Bottle Coffee - Bryant Park,"54 W 40th St, New York, NY 10018",40.7530635290641,-73.984223271164,10018,4.0,331,$$,130457.0,
Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",40.75308,-73.98416,10018,3.7,9,,130457.0,
Blue Bottle Coffee,"10 E 53rd St, New York, NY 10022",40.75961763186728,-73.97548857057086,10022,3.9,86,$$,156255.0,
Blue Bottle Coffee - Amsterdam Ave,"279 Amsterdam Ave, New York, NY 10023",40.7793056,-73.9809228,10023,3.8,56,$$$,136109.0,
Blue Bottle Coffee - Morningside Heights,"2901 Broadway, New York, NY 10025",40.80639,-73.96542,10025,3.2,29,,103440.0,
Blue Bottle Coffee - Gramercy Park,"257 Park Ave S, New York, NY 10010",40.738591,-73.987138,10010,3.6,44,,131635.0,
Blue Bottle Coffee,"22 Broad St, New York, NY 10005",40.70651,-74.01123,10005,4.3,22,,197188.0,13.482625128495345
Blue Bottle Coffee,"396 Broadway, New York, NY 10013",40.71848,-74.00248,10013,4.1,37,$$,137572.0,14.91410325487818
Blue Bottle Coffee - New York,"150 Greenwich St, New York, NY 10007",40.710715,-74.0123300674591,10007,4.2,175,$$,250001.0,21.71603277916024
Blue Bottle Coffee,"408 Greenwich St, New York, NY 10013",40.72159402979819,-74.01001010391339,10013,3.4,8,,137572.0,7.470563562943147
Blue Bottle Coffee,"101 University Pl, New York, NY 10003",40.73403,-73.99252,10003,4.1,62,$,137533.0,16.98685237820528
Blue Bottle Coffee,"1227 Broadway, New York, NY 10001",40.74662093000475,-73.98879099999999,10001,3.9,10,,101409.0,9.351791563913643
Blue Bottle Coffee,"441 8th Ave, Ste 68, New York, NY 10001",40.75153736448017,-73.9958345980164,10001,3.7,20,,101409.0,11.264733019576664
Blue Bottle Coffee - Hudson Yards,"20 Hudson Yards, Ste 228, New York, NY 10001",40.75311886250226,-74.00182333262649,10001,3.5,97,$$,101409.0,16.047386175347004
Blue Bottle Coffee - Bryant Park,"54 W 40th St, New York, NY 10018",40.7530635290641,-73.984223271164,10018,4.0,331,$$,130457.0,23.220539875665956
Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",40.75308,-73.98416,10018,3.7,9,,130457.0,8.519564844077971
Blue Bottle Coffee,"10 E 53rd St, New York, NY 10022",40.75961763186728,-73.97548857057086,10022,3.9,86,$$,156255.0,17.417041662752876
Blue Bottle Coffee - Amsterdam Ave,"279 Amsterdam Ave, New York, NY 10023",40.7793056,-73.9809228,10023,3.8,56,$$$,136109.0,15.36359481777129
Blue Bottle Coffee - Morningside Heights,"2901 Broadway, New York, NY 10025",40.80639,-73.96542,10025,3.2,29,,103440.0,10.883831621318896
Blue Bottle Coffee - Gramercy Park,"257 Park Ave S, New York, NY 10010",40.738591,-73.987138,10010,3.6,44,,131635.0,13.70398496317315
Joe Coffee Company,"141 Waverly Pl, New York, NY 10014",40.7332972,-74.0005659,10014,4.1,380,$,,
Joe Coffee Company,"9 E 13th St, New York, NY 10003",40.7351713945047,-73.9932620867199,10003,3.9,359,$$,,
Joe Coffee Company,"7 South St Slip, New York, NY 10004",40.70134488002155,-74.01161231646346,10004,3.4,18,,,
Joe Coffee Company,"514 Columbus Ave, New York, NY 10024",40.7857679462814,-73.9729782294477,10024,4.0,396,$,,
Joe Coffee Company,"187 Columbus Ave, New York, NY 10023",40.7750798,-73.9803673,10023,4.0,143,$,,
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.7720441944042,-73.9608049638701,10021,4.1,261,$,,
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202015828379,10027,3.8,216,$$,,
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$,,
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329170994,10017,4.1,9,,,
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.9614532131223,10027,5.0,6,,,
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373330999126,10027,3.9,8,,,
Joe Coffee Company,"141 Waverly Pl, New York, NY 10014",40.7332972,-74.0005659,10014,4.1,380,$,136559.0,
Joe Coffee Company,"9 E 13th St, New York, NY 10003",40.7351713945047,-73.9932620867199,10003,3.9,359,$$,137533.0,
Joe Coffee Company,"7 South St Slip, New York, NY 10004",40.70134488002155,-74.01161231646346,10004,3.4,18,,216017.0,
Joe Coffee Company,"514 Columbus Ave, New York, NY 10024",40.7857679462814,-73.9729782294477,10024,4.0,396,$,153177.0,
Joe Coffee Company,"187 Columbus Ave, New York, NY 10023",40.7750798,-73.9803673,10023,4.0,143,$,136109.0,
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.7720441944042,-73.9608049638701,10021,4.1,261,$,136060.0,
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202015828379,10027,3.8,216,$$,58435.0,
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$,130457.0,
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329170994,10017,4.1,9,,136112.0,
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.9614532131223,10027,5.0,6,,58435.0,
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373330999126,10027,3.9,8,,58435.0,
Blue Bottle Coffee,"22 Broad St, New York, NY 10005",40.70651,-74.01123,10005,4.3,22,,,
Blue Bottle Coffee,"396 Broadway, New York, NY 10013",40.71848,-74.00248,10013,4.1,37,$$,,
Blue Bottle Coffee - New York,"150 Greenwich St, New York, NY 10007",40.710715,-74.01233007,10007,4.2,175,$$,,
Blue Bottle Coffee,"408 Greenwich St, New York, NY 10013",40.72159402979819,-74.0100101,10013,3.4,8,,,
Blue Bottle Coffee,"101 University Pl, New York, NY 10003",40.73403,-73.99252,10003,4.1,62,$,,
Blue Bottle Coffee,"1227 Broadway, New York, NY 10001",40.74662093000475,-73.988791,10001,3.9,11,,,
Blue Bottle Coffee,"1 Pennsylvania Plaza, Ste 135, New York, NY 10119",40.75118611224314,-73.99212013,10119,3.3,8,,,
Blue Bottle Coffee,"441 8th Ave, Ste 68, New York, NY 10001",40.75153736448017,-73.9958346,10001,3.7,20,,,
Blue Bottle Coffee - Grand Central Place,"60 E 42nd St, Ste 140, New York, NY 10165",40.75206014057742,-73.9788563,10165,3.8,54,$$,,
Blue Bottle Coffee - Hudson Yards,"20 Hudson Yards, Ste 228, New York, NY 10001",40.75311886250226,-74.00182333,10001,3.5,97,$$,,
Blue Bottle Coffee - Bryant Park,"54 W 40th St, New York, NY 10018",40.75306353,-73.98422327,10018,4.0,331,$$,,
Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",40.75308,-73.98416,10018,3.7,9,,,
Blue Bottle Coffee,"1 Rockefeller Plz, Ste N, New York, NY 10020",40.75809,-73.97901,10020,4.2,6,,,
Blue Bottle Coffee,"10 E 53rd St, New York, NY 10022",40.75961763186728,-73.97548857,10022,3.9,86,$$,,
Blue Bottle Coffee - Midtown North,"1345 Avenue Of The Americas, New York, NY 10105",40.763006,-73.979072,10105,4.1,20,,,
Blue Bottle Coffee - Amsterdam Ave,"279 Amsterdam Ave, New York, NY 10023",40.7793056,-73.9809228,10023,3.8,56,$$$,,
Blue Bottle Coffee - Morningside Heights,"2901 Broadway, New York, NY 10025",40.80639,-73.96542,10025,3.2,29,,,
Blue Bottle Coffee - Gramercy Park,"257 Park Ave S, New York, NY 10010",40.738591,-73.987138,10010,3.6,44,,,
Blue Bottle Coffee - New York,"1 Rockefeller Plz, Concourse level  Ste D, New York, NY 10020",40.75821442045861,-73.9786936,10020,3.9,55,$$,,
Blue Bottle Coffee,"22 Broad St, New York, NY 10005",40.70651,-74.01123,10005,4.3,22,,197188.0,
Blue Bottle Coffee,"396 Broadway, New York, NY 10013",40.71848,-74.00248,10013,4.1,37,$$,137572.0,
Blue Bottle Coffee - New York,"150 Greenwich St, New York, NY 10007",40.710715,-74.01233007,10007,4.2,175,$$,250001.0,
Blue Bottle Coffee,"408 Greenwich St, New York, NY 10013",40.72159402979819,-74.0100101,10013,3.4,8,,137572.0,
Blue Bottle Coffee,"101 University Pl, New York, NY 10003",40.73403,-73.99252,10003,4.1,62,$,137533.0,
Blue Bottle Coffee,"1227 Broadway, New York, NY 10001",40.74662093000475,-73.988791,10001,3.9,11,,101409.0,
Blue Bottle Coffee,"441 8th Ave, Ste 68, New York, NY 10001",40.75153736448017,-73.9958346,10001,3.7,20,,101409.0,
Blue Bottle Coffee - Hudson Yards,"20 Hudson Yards, Ste 228, New York, NY 10001",40.75311886250226,-74.00182333,10001,3.5,97,$$,101409.0,
Blue Bottle Coffee - Bryant Park,"54 W 40th St, New York, NY 10018",40.75306353,-73.98422327,10018,4.0,331,$$,130457.0,
Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",40.75308,-73.98416,10018,3.7,9,,130457.0,
Blue Bottle Coffee,"10 E 53rd St, New York, NY 10022",40.75961763186728,-73.97548857,10022,3.9,86,$$,156255.0,
Blue Bottle Coffee - Amsterdam Ave,"279 Amsterdam Ave, New York, NY 10023",40.7793056,-73.9809228,10023,3.8,56,$$$,136109.0,
Blue Bottle Coffee - Morningside Heights,"2901 Broadway, New York, NY 10025",40.80639,-73.96542,10025,3.2,29,,103440.0,
Blue Bottle Coffee - Gramercy Park,"257 Park Ave S, New York, NY 10010",40.738591,-73.987138,10010,3.6,44,,131635.0,
Blue Bottle Coffee,"22 Broad St, New York, NY 10005",40.70651,-74.01123,10005,4.3,22,,197188.0,
Blue Bottle Coffee,"396 Broadway, New York, NY 10013",40.71848,-74.00248,10013,4.1,37,$$,137572.0,
Blue Bottle Coffee - New York,"150 Greenwich St, New York, NY 10007",40.710715,-74.01233007,10007,4.2,175,$$,250001.0,
Blue Bottle Coffee,"408 Greenwich St, New York, NY 10013",40.72159402979819,-74.0100101,10013,3.4,8,,137572.0,
Blue Bottle Coffee,"101 University Pl, New York, NY 10003",40.73403,-73.99252,10003,4.1,62,$,137533.0,
Blue Bottle Coffee,"1227 Broadway, New York, NY 10001",40.74662093000475,-73.988791,10001,3.9,10,,101409.0,
Blue Bottle Coffee,"441 8th Ave, Ste 68, New York, NY 10001",40.75153736448017,-73.9958346,10001,3.7,20,,101409.0,
Blue Bottle Coffee - Hudson Yards,"20 Hudson Yards, Ste 228, New York, NY 10001",40.75311886250226,-74.00182333,10001,3.5,97,$$,101409.0,
Blue Bottle Coffee - Bryant Park,"54 W 40th St, New York, NY 10018",40.75306353,-73.98422327,10018,4.0,331,$$,130457.0,
Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",40.75308,-73.98416,10018,3.7,9,,130457.0,
Blue Bottle Coffee,"10 E 53rd St, New York, NY 10022",40.75961763186728,-73.97548857,10022,3.9,86,$$,156255.0,
Blue Bottle Coffee - Amsterdam Ave,"279 Amsterdam Ave, New York, NY 10023",40.7793056,-73.9809228,10023,3.8,56,$$$,136109.0,
Blue Bottle Coffee - Morningside Heights,"2901 Broadway, New York, NY 10025",40.80639,-73.96542,10025,3.2,29,,103440.0,
Blue Bottle Coffee - Gramercy Park,"257 Park Ave S, New York, NY 10010",40.738591,-73.987138,10010,3.6,44,,131635.0,
Joe Coffee Company,"141 Waverly Pl, New York, NY 10014",40.7332972,-74.0005659,10014,4.1,380,$,,
Joe Coffee Company,"9 E 13th St, New York, NY 10003",40.73517139,-73.99326209,10003,3.9,359,$$,,
Joe Coffee Company,"7 South St Slip, New York, NY 10004",40.70134488002155,-74.01161232,10004,3.4,18,,,
Joe Coffee Company,"514 Columbus Ave, New York, NY 10024",40.78576795,-73.97297823,10024,4.0,396,$,,
Joe Coffee Company,"187 Columbus Ave, New York, NY 10023",40.7750798,-73.9803673,10023,4.0,143,$,,
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.77204419,-73.96080496,10021,4.1,261,$,,
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202016,10027,3.8,216,$$,,
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$,,
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329,10017,4.1,9,,,
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.96145321,10027,5.0,6,,,
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373331,10027,3.9,8,,,
Joe Coffee Company,"141 Waverly Pl, New York, NY 10014",40.7332972,-74.0005659,10014,4.1,380,$,136559.0,
Joe Coffee Company,"9 E 13th St, New York, NY 10003",40.73517139,-73.99326209,10003,3.9,359,$$,137533.0,
Joe Coffee Company,"7 South St Slip, New York, NY 10004",40.70134488002155,-74.01161232,10004,3.4,18,,216017.0,
Joe Coffee Company,"514 Columbus Ave, New York, NY 10024",40.78576795,-73.97297823,10024,4.0,396,$,153177.0,
Joe Coffee Company,"187 Columbus Ave, New York, NY 10023",40.7750798,-73.9803673,10023,4.0,143,$,136109.0,
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.77204419,-73.96080496,10021,4.1,261,$,136060.0,
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202016,10027,3.8,216,$$,58435.0,
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$,130457.0,
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329,10017,4.1,9,,136112.0,
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.96145321,10027,5.0,6,,58435.0,
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373331,10027,3.9,8,,58435.0,
